BN Part Number,OEM #,LBS.,,,Pt,Pd,Rh,Pt 100,Pd 100,Rh 100,Pt 97 , Pd 96.5 ,Rh 88,Refining , Treatment Charges,Interest Charges,Gross ,Net,,,,Per Lbs $
LARGE BREAD,10219956,3.267,0.99,3.3,1273,17,105,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.61,#VALUE!,126.62,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507291,3.7422,0.99,3.78,379,1504,194,0.02,0.08,0.01,0.02,0.08,0.01,0.22,2.99,#VALUE!,338.03,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25160529,3.2967,0.99,3.33,1231,11,160,0.06,0.00,0.01,0.06,0.00,0.01,0.13,2.64,#VALUE!,160.09,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508419,3.5145,0.99,3.55,423,1376,154,0.02,0.07,0.01,0.02,0.07,0.01,0.19,2.81,#VALUE!,278.34,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25317335,3.4551,0.99,3.49,1423,26,169,0.07,0.00,0.01,0.07,0.00,0.01,0.16,2.76,#VALUE!,184.80,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24504613,3.5046,0.99,3.54,1341,19,114,0.07,0.00,0.01,0.07,0.00,0.01,0.15,2.80,#VALUE!,145.50,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507292,3.5145,0.99,3.55,465,1242,188,0.02,0.06,0.01,0.02,0.06,0.01,0.19,2.81,#VALUE!,288.52,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24506980,3.0987,0.99,3.13,1166,16,109,0.05,0.00,0.00,0.05,0.00,0.00,0.11,2.48,#VALUE!,117.70,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25180114,3.2967,0.99,3.33,538,1684,203,0.03,0.08,0.01,0.03,0.08,0.01,0.22,2.64,#VALUE!,329.70,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12582330,3.1581,0.99,3.19,981,2683,227,0.05,0.12,0.01,0.04,0.12,0.01,0.34,2.53,#VALUE!,450.12,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25317396,3.1086,0.99,3.14,6,5920,189,0.00,0.27,0.01,0.00,0.26,0.01,0.53,2.49,#VALUE!,696.07,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25176615,3.6531,0.99,3.69,225,5801,314,0.01,0.31,0.02,0.01,0.30,0.01,0.65,2.92,#VALUE!,903.45,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25160531,3.2175,0.99,3.25,1257,10,158,0.06,0.00,0.01,0.06,0.00,0.01,0.13,2.57,#VALUE!,156.09,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25130776,3.5442,0.99,3.58,1071,14,97,0.06,0.00,0.01,0.05,0.00,0.00,0.12,2.84,#VALUE!,121.45,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12563311,3.9501,0.99,3.99,231,7078,332,0.01,0.41,0.02,0.01,0.39,0.02,0.85,3.16,#VALUE!,1150.65,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
